yrpub,count,neighborhood,collection,type,age,category1,category2,languages,originalLang
1994,1,Ravenna,Ravenna2,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1991,1,Ravenna,Ravenna2,Nonfiction,Adult,Cultural Studies,Null,English,English
2011,1,Ravenna,Ravenna2,Nonfiction,Adult,Music,Null,English,
2002,1,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,English,English
2000,1,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,English,English
2000,1,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,English,English
2005,1,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,English,English
2009,1,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,English,English
1994,1,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,English,English
1997,1,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,English,English
2005,1,Ravenna,Ravenna2,Nonfiction,Adult,Nature/Gardening,Null,English,English
2005,1,Ravenna,Ravenna2,Fiction,Adult,Novel,Null,English,English
2016,1,Ravenna,Ravenna2,Fiction,Adult,Novel,Null,English,English
2005,1,Ravenna,Ravenna2,Fiction,Adult,Novel,Null,English,English
1998,1,Ravenna,Ravenna2,Fiction,Adult,Novel,Null,English,English
1998,1,Ravenna,Ravenna2,Fiction,Adult,Novel,Null,English,English
1998,1,Ravenna,Ravenna2,Fiction,Adult,Poetry,Null,English,English
2017,1,Ravenna,Ravenna2,Fiction,Adult,Romance,Null,English,English
1990,1,Ravenna,Ravenna2,Fiction,Adult,Romance,Null,English,English
2001,1,Ravenna,Ravenna2,Fiction,Adult,Romance,Null,English,English
1987,1,Ravenna,Ravenna2,Fiction,Adult,Romance,Null,English,English
2006,1,Ravenna,Ravenna2,Fiction,Adult,Romance,Null,English,English
2005,1,Ravenna,Ravenna2,Fiction,Adult,Romance,Null,English,English
1996,1,Ravenna,Ravenna2,Fiction,Adult,Romance,Null,English,English
1978,1,Ravenna,Ravenna2,Fiction,Adult,Romance,Null,English,
1997,1,Ravenna,Ravenna2,Nonfiction,Adult,Science,Null,English,English
1994,1,Ravenna,Ravenna2,Fiction,Adult,SciFi/Fantasy,Null,English,English
2011,1,Ravenna,Ravenna2,Fiction,Adult,SciFi/Fantasy,Null,English,English
2016,1,Ravenna,Ravenna2,Fiction,Adult,SciFi/Fantasy,Null,English,
2001,1,Ravenna,Ravenna2,Fiction,Adult,Thriller/Suspense,Null,English,English
1988,1,Ravenna,Ravenna2,Fiction,Adult,Thriller/Suspense,Null,English,English
2007,1,Ravenna,Ravenna3,Nonfiction,Adult,Biography/Autobiography/Memoir,Business/Technology,English,English
2012,1,Ravenna,Ravenna3,Nonfiction,Adult,Biography/Autobiography/Memoir,Graphic/Manga,English,English
1991,1,Ravenna,Ravenna3,Nonfiction,Adult,Cookery,Null,English,English
2008,1,Ravenna,Ravenna3,Fiction,Adult,Graphic/Manga,Null,,
2014,1,Ravenna,Ravenna3,Fiction,Adult,Mystery,Novel,English,English
1999,1,Ravenna,Ravenna3,Fiction,Adult,Mystery,Null,English,English
2016,1,Ravenna,Ravenna3,Fiction,Adult,Novel,Null,English,English
1990,1,Ravenna,Ravenna3,Fiction,Adult,Novel,Null,English,Japanese
2009,1,Ravenna,Ravenna3,Fiction,Adult,Novel,Null,English,English
2014,1,Ravenna,Ravenna3,Fiction,Adult,Romance,Novel,English,English
2008,1,Ravenna,Ravenna3,Nonfiction,Adult,Science,Null,English,English
1977,1,Ravenna,Ravenna3,Fiction,Adult,SciFi/Fantasy,Novel,English,English
2003,1,Ravenna,Ravenna3,Fiction,Adult,SciFi/Fantasy,Novel,English,English
2002,1,Ravenna,Ravenna3,Nonfiction,Adult,Self Help/Health,Null,English,English
2016,1,Ravenna,Ravenna3,Nonfiction,Adult,Sports,Null,English,English
2004,1,Ravenna,Ravenna3,Nonfiction,Adult,Travel,Null,English,English
2009,1,Ravenna,Ravenna4,Fiction,Adult,Classics,Null,English,English
2004,1,Ravenna,Ravenna4,Nonfiction,Adult,Cultural Studies,Null,English,English
1997,1,Ravenna,Ravenna4,Fiction,Adult,History,Novel,English,English
1984,1,Ravenna,Ravenna4,Fiction,Adult,History,Novel,English,English
1994,1,Ravenna,Ravenna4,Fiction,Adult,Mystery,Null,English,English
2000,1,Ravenna,Ravenna4,Fiction,Adult,Mystery,Null,English,English
1987,1,Ravenna,Ravenna4,Fiction,Adult,Mystery,Null,English,English
2008,1,Ravenna,Ravenna4,Fiction,Adult,Novel,Null,English,English
2017,1,Ravenna,Ravenna4,Fiction,Adult,Novel,Null,English,English
2011,1,Ravenna,Ravenna4,Nonfiction,Adult,Thriller/Suspense,Null,English,English
1992,1,Ravenna,Ravenna4,Fiction,Adult,Thriller/Suspense,Null,English,English
1971,1,Ravenna,Ravenna5,Nonfiction,Adult,Cookery,Null,English,English
1961,1,Ravenna,Ravenna5,Nonfiction,Adult,History,Null,English,English
2000,1,Ravenna,Ravenna5,Fiction,Adult,Mystery,Null,English,English
2012,1,Ravenna,Ravenna5,Fiction,Adult,Mystery,Null,English,English
1994,1,Ravenna,Ravenna5,Fiction,Adult,Mystery,Null,English,English
2015,1,Ravenna,Ravenna5,Fiction,Adult,Novel,Religion,English,English
2012,1,Ravenna,Ravenna5,Fiction,Adult,Novel,Null,English,English
1990,1,Ravenna,Ravenna5,Fiction,Adult,SciFi/Fantasy,Null,English,English
1991,1,Ravenna,Ravenna5,Fiction,Adult,SciFi/Fantasy,Null,English,English
1984,1,Ravenna,Ravenna5,Fiction,Adult,SciFi/Fantasy,Null,English,English
1977,1,Ravenna,Ravenna5,Fiction,Adult,SciFi/Fantasy,Null,English,English
1971,1,Ravenna,Ravenna5,Fiction,Adult,SciFi/Fantasy,Null,English,English
1984,1,Ravenna,Ravenna5,Nonfiction,Adult,Self Help/Health,Null,English,English
1974,1,Ravenna,Ravenna5,Nonfiction,Adult,Self Help/Health,Null,English,
1976,1,Ravenna,Ravenna5,Fiction,Adult,Thriller/Suspense,Null,English,English
1937,1,Ravenna,Ravenna6,Fiction,Adult,Classics,Null,English,English
1971,1,Ravenna,Ravenna6,Nonfiction,Adult,History,Null,English,English
1995,1,Ravenna,Ravenna6,Fiction,Adult,Mystery,Null,English,English
2017,1,Ravenna,Ravenna6,Fiction,Adult,Novel,Null,English,English
2015,1,Ravenna,Ravenna6,Fiction,Adult,Novel,Null,English,English
2017,1,Ravenna,Ravenna6,Fiction,Adult,Novel,Null,English,English
2007,1,Ravenna,Ravenna6,Fiction,Adult,Novel,Null,English,English
1998,1,Ravenna,Ravenna6,Nonfiction,Adult,Self Help/Health,Null,English,English
2010,1,Ravenna,Ravenna6,Nonfiction,Adult,Self Help/Health,Null,English,English
2014,1,Ravenna,Ravenna6,Fiction,Adult,Thriller/Suspense,Null,English,English
2018,1,Ravenna,Ravenna6,Fiction,Adult,Thriller/Suspense,Null,English,English
1972,1,Ravenna,Ravenna6,Nonfiction,Adult,Travel,Null,English,English
1998,1,Central District,CentralDistrict3,Nonfiction,Childrens,Null,Self Help/Health,English,English
2002,1,Central District,CentralDistrict3,Nonfiction,Childrens,Null,Null,English,English
2008,1,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,English,English
1997,1,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,English,English
2007,1,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,English,English
2006,1,Central District,CentralDistrict4,Fiction,Childrens,Null,Null,English,English
1986,1,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,English,English
2010,1,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,English,English
2011,1,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,English,English
1981,1,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,English,English
2008,1,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,English,English
1981,1,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,,English
1990,1,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,English,English
2006,1,Columbia City,ColumbiaCity4,Fiction,Childrens,Null,Null,English,English
1982,1,Laurelhurst,Laurelhurst1,Fiction,Childrens,Null,Null,English,English
2006,1,Laurelhurst,Laurelhurst2,Fiction,Childrens,Null,Null,English,English
1990,1,Laurelhurst,Laurelhurst2,Fiction,Childrens,Null,Null,English,English
1986,1,Laurelhurst,Laurelhurst5,Nonfiction,Childrens,Null,Null,English,English
1989,1,Laurelhurst,Laurelhurst5,Nonfiction,Childrens,Null,Null,English,English
2005,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
2002,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
2007,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2001,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
1978,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
1988,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2008,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2004,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2013,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Religion,Null,English,English
2000,1,Phinney-Greenwood,Phinney-Green5,Fiction,Childrens,Null,Null,English,English
1988,1,Queen Anne,QueenAnne3,Fiction,Childrens,Null,Null,English,English
2018,1,Queen Anne,QueenAnne3,Fiction,Childrens,Null,Null,English,English
2016,1,Queen Anne,QueenAnne3,Fiction,Childrens,Null,Null,English,English
1997,1,Queen Anne,QueenAnne4,Fiction,Childrens,Null,Null,English,English
1988,1,Queen Anne,QueenAnne4,Fiction,Childrens,Null,Null,English,English
2013,1,Queen Anne,QueenAnne5,Fiction,Childrens,Null,Null,English,English
1988,1,Ravenna,Ravenna1,Fiction,Childrens,Null,Null,English,English
2000,1,Ravenna,Ravenna1,Fiction,Childrens,Null,Null,English,English
2018,1,Ravenna,Ravenna1,Fiction,Childrens,Null,Null,English,English
2010,1,Ravenna,Ravenna3,Fiction,Childrens,Null,Null,English,English
2007,1,Ravenna,Ravenna3,Fiction,Childrens,Null,Null,English,English
2009,1,Ravenna,Ravenna4,Fiction,Childrens,Null,Null,English,English
2007,1,Ravenna,Ravenna4,Fiction,Childrens,Null,Null,English,English
2012,1,Ravenna,Ravenna4,Fiction,Childrens,Null,Null,English,English
2009,1,Ravenna,Ravenna4,Fiction,Childrens,Null,Null,English,English
2009,1,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,English,English
2002,1,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,English,English
1997,1,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,English,English
2004,1,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,English,English
2005,1,Central District,CentralDistrict3,Nonfiction,Childrens,Null,Null,English,English
2013,1,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,English,English
1999,1,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,English,English
2005,1,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,,English
2011,1,Central District,CentralDistrict4,Fiction,Childrens,Null,Null,English,English
2006,1,Central District,CentralDistrict4,Fiction,Childrens,Null,Null,English,English
1997,1,Central District,CentralDistrict4,Fiction,Childrens,Null,Null,English,English
1982,1,Central District,CentralDistrict4,Fiction,Childrens,Null,Null,,
2000,1,Central District,CentralDistrict4,Nonfiction,Childrens,Null,Null,English,English
1999,1,Central District,CentralDistrict4,Fiction,Childrens,Null,Null,German,German
2001,1,Central District,CentralDistrict4,Nonfiction,Childrens,Religion,Null,"English, Spanish",English
2013,1,Columbia City,ColumbiaCity1,Fiction,Childrens,Null,Null,English,English
2007,1,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,English,English
2005,1,Columbia City,ColumbiaCity4,Fiction,Childrens,Null,Null,English,English
2005,1,Columbia City,ColumbiaCity4,Fiction,Childrens,Null,Null,"English, Italian",English
2006,1,Columbia City,ColumbiaCity4,Fiction,Childrens,Null,Null,English,English
2005,1,Columbia City,ColumbiaCity4,Fiction,Childrens,Null,Null,English,English
2011,1,Columbia City,ColumbiaCity4,Fiction,Childrens,Null,Null,English,English
2005,1,Laurelhurst,Laurelhurst1,Fiction,Childrens,Null,Null,English,English
2002,1,Laurelhurst,Laurelhurst3,Fiction,Childrens,Null,Null,English,English
1999,1,Laurelhurst,Laurelhurst3,Fiction,Childrens,Null,Null,English,English
2003,1,Laurelhurst,Laurelhurst3,Fiction,Childrens,Null,Null,English,English
2000,1,Laurelhurst,Laurelhurst3,Fiction,Childrens,Null,Null,English,English
1999,1,Laurelhurst,Laurelhurst3,Fiction,Childrens,Null,Null,English,English
1999,1,Laurelhurst,Laurelhurst3,Fiction,Childrens,Null,Null,English,English
1986,1,Laurelhurst,Laurelhurst4,Fiction,Childrens,Null,Null,English,English
1998,1,Laurelhurst,Laurelhurst5,Fiction,Childrens,Null,Null,English,English
2012,1,Laurelhurst,Laurelhurst5,Fiction,Childrens,Null,Null,English,English
2014,1,Laurelhurst,Laurelhurst5,Nonfiction,Childrens,Null,Null,English,English
2004,1,Laurelhurst,Laurelhurst5,Fiction,Childrens,Null,Null,English,English
1998,1,Laurelhurst,Laurelhurst5,Fiction,Childrens,Null,Null,English,English
1982,1,Laurelhurst,Laurelhurst5,Nonfiction,Childrens,Religion,Null,English,English
2003,1,Laurelhurst,Laurelhurst6,Nonfiction,Childrens,Null,Null,English,English
2006,1,Montlake,Montlake4,Fiction,Childrens,Null,Null,English,English
2000,1,Montlake,Montlake5,Fiction,Childrens,Null,Null,English,English
2011,1,Montlake,Montlake5,Fiction,Childrens,Null,Null,Thai,Thai
2013,1,Northgate,Northgate1,Fiction,Childrens,Null,Null,English,English
2017,1,Northgate,Northgate1,Fiction,Childrens,Null,Null,English,English
1999,1,Northgate,Northgate1,Nonfiction,Childrens,Null,Null,English,English
2007,1,Northgate,Northgate1,Fiction,Childrens,Null,Null,English,English
2001,1,Northgate,Northgate1,Fiction,Childrens,Null,Null,English,English
1999,1,Northgate,Northgate1,Fiction,Childrens,Null,Null,English,English
1989,1,Northgate,Northgate1,Fiction,Childrens,Null,Null,English,English
2000,1,Northgate,Northgate1,Nonfiction,Childrens,Null,Null,English,English
2010,1,Northgate,Northgate1,Nonfiction,Childrens,Null,Null,English,English
1998,1,Northgate,Northgate1,Fiction,Childrens,Null,Null,English,English
2012,1,Northgate,Northgate2,Fiction,Childrens,Null,Null,English,English
1965,1,Northgate,Northgate2,Fiction,Childrens,Null,Null,English,English
2018,1,Northgate,Northgate2,Fiction,Childrens,Null,Null,English,English
2007,1,Northgate,Northgate2,Fiction,Childrens,Null,Null,English,English
1999,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,"English, Undetermined",English
2002,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
1995,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
1996,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
1960,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,
2014,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
2002,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
1987,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
2003,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
2004,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,
2006,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
1994,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
2005,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
1975,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,
2004,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
2012,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
2011,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
2014,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,
2014,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,,English
2014,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,,English
2007,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
1982,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
2004,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
2009,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
2009,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
1999,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
2016,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
2011,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
1997,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
2014,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
2014,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,,English
2007,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
2003,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
2007,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
2004,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
2009,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
1982,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
1999,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
1997,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
2015,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
1991,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
1984,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,,
1992,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
1991,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
1991,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
2001,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
2015,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
1999,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
2012,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
1971,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
2011,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,
2018,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,,
2011,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
1991,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
2002,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
1970,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,,English
1989,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
1999,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
2003,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
1964,1,Northgate,Northgate4,Nonfiction,Childrens,Null,Null,English,
2014,1,Northgate,Northgate5,Fiction,Childrens,Null,Null,English,English
2013,1,Phinney-Greenwood,Phinney-Green2,Fiction,Childrens,Null,Null,English,English
2014,1,Phinney-Greenwood,Phinney-Green2,Fiction,Childrens,Null,Null,Spanish,
2003,1,Phinney-Greenwood,Phinney-Green2,Fiction,Childrens,Null,Null,English,
1988,1,Phinney-Greenwood,Phinney-Green2,Fiction,Childrens,Null,Null,English,English
1987,1,Phinney-Greenwood,Phinney-Green2,Fiction,Childrens,Null,Null,,
1987,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Childrens,Null,Null,English,English
2018,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2014,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2016,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
1976,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2009,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2012,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2014,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2014,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2005,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Childrens,Null,Null,English,English
1987,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Childrens,Null,Null,English,English
1987,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Childrens,Null,Null,English,English
1987,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2017,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2017,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2000,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
1985,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
1993,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
2015,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,English,English
1974,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,
2003,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,,English
1981,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2006,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2018,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2005,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2004,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2008,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2005,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
1999,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2001,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
1999,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,
1959,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2008,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,
2003,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
1978,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
2003,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
1979,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,English,English
1964,1,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Religion,Null,English,English
2003,1,Phinney-Greenwood,Phinney-Green5,Fiction,Childrens,Null,Null,English,English
2000,1,Phinney-Greenwood,Phinney-Green5,Fiction,Childrens,Null,Null,English,English
1999,1,Phinney-Greenwood,Phinney-Green5,Fiction,Childrens,Null,Null,English,English
2007,1,Phinney-Greenwood,Phinney-Green5,Fiction,Childrens,Religion,Null,English,English
2018,1,Phinney-Greenwood,Phinney-Green5,Fiction,Childrens,Null,Null,English,
2009,1,Queen Anne,QueenAnne1,Fiction,Childrens,Null,Null,English,English
2003,1,Queen Anne,QueenAnne1,Fiction,Childrens,Null,Null,English,English
2015,1,Queen Anne,QueenAnne1,Fiction,Childrens,Null,Null,English,English
2003,1,Queen Anne,QueenAnne1,Fiction,Childrens,Null,Null,English,English
2014,1,Queen Anne,QueenAnne1,Fiction,Childrens,Null,Null,,
2003,1,Queen Anne,QueenAnne1,Fiction,Childrens,Null,Null,English,English
2003,1,Queen Anne,QueenAnne1,Fiction,Childrens,Null,Null,English,
2003,1,Queen Anne,QueenAnne1,Fiction,Childrens,Null,Null,English,
2007,1,Queen Anne,QueenAnne2,Fiction,Childrens,Null,Null,English,English
2007,1,Queen Anne,QueenAnne2,Fiction,Childrens,Null,Null,English,English
1993,1,Queen Anne,QueenAnne2,Fiction,Childrens,Null,Null,English,English
2009,1,Queen Anne,QueenAnne2,Nonfiction,Childrens,Null,Null,English,English
1990,1,Queen Anne,QueenAnne2,Nonfiction,Childrens,Null,Null,English,English
1976,1,Queen Anne,QueenAnne2,Fiction,Childrens,Null,Null,English,English
1983,1,Queen Anne,QueenAnne3,Fiction,Childrens,Null,Null,English,English
1969,1,Queen Anne,QueenAnne3,Fiction,Childrens,Null,Null,English,English
1987,1,Queen Anne,QueenAnne3,Fiction,Childrens,Null,Null,English,English
2014,1,Queen Anne,QueenAnne3,Fiction,Childrens,Null,Null,English,
2004,1,Queen Anne,QueenAnne4,Nonfiction,Childrens,Null,Null,English,English
2002,1,Queen Anne,QueenAnne5,Fiction,Childrens,Null,Null,,
1984,1,Queen Anne,QueenAnne5,Fiction,Childrens,Null,Null,English,English
2003,1,Queen Anne,QueenAnne5,Fiction,Childrens,Null,Null,English,English
1993,1,Queen Anne,QueenAnne5,Nonfiction,Childrens,Null,Null,English,English
2010,1,Queen Anne,QueenAnne5,Fiction,Childrens,Null,Null,English,English
2001,1,Queen Anne,QueenAnne5,Fiction,Childrens,Null,Null,English,English
2014,1,Queen Anne,QueenAnne5,Fiction,Childrens,Null,Null,English,English
2015,1,Queen Anne,QueenAnne5,Fiction,Childrens,Religion,Null,English,English
2003,1,Ravenna,Ravenna1,Fiction,Childrens,Null,Null,English,English
2011,1,Ravenna,Ravenna1,Fiction,Childrens,Null,Null,English,English
2015,1,Ravenna,Ravenna1,Fiction,Childrens,Null,Null,English,English
2010,1,Ravenna,Ravenna1,Fiction,Childrens,Null,Null,English,English
1992,1,Ravenna,Ravenna3,Fiction,Childrens,Null,Null,English,English
1991,1,Ravenna,Ravenna3,Fiction,Childrens,Null,Null,English,English
2015,1,Ravenna,Ravenna5,Fiction,Childrens,Null,Null,English,English
1990,1,Ravenna,Ravenna5,Fiction,Childrens,Null,Null,English,English
1990,1,Ravenna,Ravenna5,Fiction,Childrens,Null,Null,English,English
2006,1,Ravenna,Ravenna5,Fiction,Childrens,Null,Null,English,English
1968,1,Central District,CentralDistrict3,Fiction,Young Adult,Novel,Null,,
2010,1,Central District,CentralDistrict4,Fiction,Young Adult,SciFi/Fantasy,Null,English,English
2005,1,Central District,CentralDistrict4,Fiction,Young Adult,SciFi/Fantasy,Null,English,English
2011,1,Columbia City,ColumbiaCity3,Fiction,Young Adult,Novel,Null,English,English
2014,1,Columbia City,ColumbiaCity3,Fiction,Young Adult,Novel,Null,English,English
2014,1,Columbia City,ColumbiaCity3,Fiction,Young Adult,Novel,Null,English,English
2017,1,Columbia City,ColumbiaCity4,Fiction,Young Adult,Novel,Null,English,English
2008,1,Columbia City,ColumbiaCity4,Fiction,Young Adult,SciFi/Fantasy,Null,English,English
2007,1,Columbia City,ColumbiaCity4,Fiction,Young Adult,SciFi/Fantasy,Null,English,English
2009,1,Columbia City,ColumbiaCity4,Fiction,Young Adult,SciFi/Fantasy,Null,English,English
2011,1,Laurelhurst,Laurelhurst2,Fiction,Young Adult,novel,Null,English,English
1988,1,Laurelhurst,Laurelhurst4,Fiction,Young Adult,Novel,Null,English,English
1994,1,Laurelhurst,Laurelhurst5,Nonfiction,Young Adult,History,Null,English,English
1985,1,Laurelhurst,Laurelhurst5,Fiction,Young Adult,Novel,Null,English,English
2008,1,Montlake,Montlake4,Fiction,Young Adult,Novel,Null,English,English
